code_mun,code_mun_short,sum_fpp_2010,sum_fpp_2022,mean_fpp_2010,mean_perc_forest_2010,mean_perc_forest_2011,mean_fpp_2022,mean_perc_forest_2022,mean_perc_forest_2023,mean_respRenda_2010,mean_respRenda_2022,mean_fpp_abs_change,mean_fpp_perc_change,mean_forest_abs_change,mean_forest_perc_change,ifdm_saude_2013,ifdm_saude_2022,perc_agrifam_cadunico_2012,perc_cisternas_2010,perc_pessoas_cadunico_2012,perc_pib_agro_2010,perc_popRur_2010,perc_popUrb_2010,perc_public_light_2010,perc_saneamento_2010,perc_popUrb_2022,perc_popRur_2022,perc_saneamento_2022,perc_public_light_2022,perc_pib_agro_2021,perc_agrifam_cadunico_2022,perc_pessoas_cadunico_2022,perc_cisternas_2022,taxa_u5mort_2010,taxa_u5mort_2022,bovino_hectare_2010,caprino_hectare_2010,irrigacao_hectare_2010,irrigacao_hectare_2022,bovino_hectare_2022,caprino_hectare_2022,cat_change
2200277,220027,574,402,574,85.4506273279856,85.3874105218908,402,77.8851517937705,77.8629660357908,588.4003587266792,626.8742005156788,-172,-29.965156794425084,-7.565475534215096,-8.853621992939258,0.316334033692806,0.6276,5.770662816025948E-05,48.64672820157438,74.91010177368251,9.47724398593652,45.16062228358698,54.83937771641303,84.53403343186504,2.279212499763458,65.60812270468783,34.39187729531216,4.199999999999999,97.49,15.71,0.6535947712418301,76.06394469647873,84.44444444444444,0.2527695056246703,0,0.1038256543732873,0.05619505166874821,3.521435264522929e-7,4.178655195769463e-7,0.1424387708708362,0.07171910046092621,PP
2200459,220045,2476,2653,225.0909090909091,94.66717354092962,95.2014810168152,241.1818181818182,90.8242258405923,90.6086442400782,629.9795669647509,621.3710688258475,16.090909090909093,7.1486268174474965,-3.8429477003373194,-4.059430060701886,0.1946986542770229,0.431,0.1240236514893726,7.938052754114464e-6,90.77015059494016,24.75855449204975,63.37618241230457,36.62381758769543,71.25155695815177,1.089810447700677,39.57158962795941,60.42841037204059,31.14,99.38,29.71,0.4837595024187976,90.41713641488163,0,10.10796654633284,22.98850574712644,0.06895817325680768,0.0028496383318884202,7.709419822928763e-7,8.922970065069873e-7,0.05328391004397972,0.00200208330730968,PG
2200509,220050,2359,1267,1179.5,91.451950153821,91.48425449743479,633.5,88.9877525189475,88.99312811786496,625.9652500779149,693.7894389694305,-546,-46.29080118694362,-2.4641976348735,-2.694527159594466,0.2620259810754978,0.3489,0,0,78.04019379221823,8.5285992023956,48.79860216911602,51.20139783088398,93.10027517360346,9.535283319182259,53.21042224031639,46.78957775968361,58.3,98.61,10.55,0.233849751534639,81.64475979993021,1.549254603916983,19.16911371532559,40,0.2044039654018001,0.1044805302786009,1.782617453207068e-6,2.232843437342e-6,0.2075970630666367,0.1622999223096254,PP
2200707,220070,892,1016,892,75.2949266858363,75.9124056571695,1016,76.5097966966168,76.5198325484381,537.6130898456693,635.2995178828762,124,13.901345291479823,1.2148700107805013,1.6134818961302342,0.4456999442065224,0.6291,3.031605211682875E-10,37.03703901622598,85.49132364591216,5.670001598590041,50.50562087718601,49.494379122814,87.12999142109005,18.25999099568064,50.59111726488445,49.40888273511556,32.95,96.27,11.61,44.85702091335894,69.58142507189264,31.58344003414426,1.824026649257134e-5,18.18181818181818,0.07722299303801548,0.06140630150855351,4.682521582034789e-7,6.107265781323005e-7,0.0644591330866117,0.1357508761305323,GG
2201002,220100,1996,1275,499,87.64869050633112,87.87583891106625,318.75,84.62658294253303,85.34235002514048,541.7414898627715,603.6979193630123,-180.25,-36.122244488977955,-3.0221075637980874,-3.447977997548967,0.5139608089430552,0.4618,0,0.00113425072258567,91.2104155246535,7.651007337252724,48.10466523956864,51.89533476043137,82.10938662795552,10.08621306918895,56.84886036733791,43.15113963266209,2.22,98.97,9.33,55.53257497414684,89.00199159105998,0,64.50520653620485,21.73913043478261,0.04454430429999251,0.04612066933255245,1.461156376648769e-7,1.408353818963043e-7,0.04873163430821439,0.05123944374733991,PP
2201051,220105,3008,2649,250.6666666666667,90.6207835620074,90.02471551746314,220.75,87.9611814727679,87.98599033021273,431.5284111677013,519.4513364558572,-29.916666666666714,-11.934840425531931,-2.659602089239499,-2.934869888230068,0.3357999995213348,0.3432,4.655244824076423E-11,48.51190350793834,96.17486305596948,9.190000137326555,54.97800925482687,45.02199074517312,77.39000065828074,13.46000024406443,42.05582393988191,57.94417606011809,13.06,82.88,14.35,0.1146788990825688,88.05689747718733,20.90978593272171,23.25581349117291,38.46153846153847,0.02007917252682254,0.01690088271479631,1.314026466939615e-7,2.127062647144552e-7,0.02515520233399041,0.08299890079885072,PP
2201101,220110,3655,3459,304.5833333333333,90.85400963610455,92.01204832010113,288.25,89.6135731319785,89.52802277581542,687.288580107942,627.4659019889503,-16.333333333333314,-5.3625170998631955,-1.2404365041260519,-1.3653073860959395,0.2614170509997658,0.452,0.1599156960220245,41.89810696634517,91.30800212405194,11.89353253116481,41.3490637413774,58.6509362586226,76.99722166001408,1.557575028764035,64.54285977350152,35.45714022649848,13.68,98.11,13.16,87.33258928571429,91.40042353374459,71.81919642857143,26.48857578342941,6.802721088435374,0.08734021870792019,0.04224280613146312,2.59115425908879e-7,2.99381666456792e-7,0.09016618943032595,0.1130124886592473,PP
2201556,220155,1482,979,494,77.9855794405444,79.01498191842776,326.3333333333333,77.56851443030737,77.65113721620273,484.35713873294,663.8289584975092,-167.66666666666669,-33.94062078272605,-0.4170650102370246,-0.5347976039018748,0.6152554113019177,0.6015,1.970843099130641E-05,34.86275571987608,86.20723652103321,14.52822858306421,67.09205208630848,32.90794791369153,89.66077026995825,33.43766217375638,43.07391091532061,56.92608908467939,2.67,99.82,22.96,0.6342494714587738,88.32599118942731,24.94714587737844,0.002860258541667917,18.51851851851852,0.1018884740827566,0.139438382790467,3.233196376715058e-7,4.298246571024301e-7,0.1138469710627805,0.2258513775112529,PP
2201804,220180,1881,1397,940.5,74.2471139352879,75.6321580218954,698.5,72.95115577097545,72.95046829720636,717.4028534695793,756.2524763131094,-242,-25.730994152046783,-1.2959581643124523,-1.745466046588666,0.1585790685325892,0.5314,0.9732106585012469,0.1414219210888358,73.156426878134,16.54790357296054,59.50211675471407,40.49788324528592,87.75945775600913,22.27406835173411,43.78219278881531,56.21780721118469,67.47,97.64,18.02,0,70.51753740495462,0,1.048428208943475,0,0.1415395264450163,0.0801399798382692,1.744362010269019e-6,6.296215192305487e-7,0.1220416829307102,0.1043566454164465,PP
2201903,220190,503,44,167.6666666666667,99.99762297265833,99.99762297265833,14.66666666666667,100,100,1065.455315943111,1081.554848187132,-153.00000000000006,-91.25248508946324,0.002377027341665894,0.002377083845598838,0.3137009824029743,0.5886,2.28246935943579E-10,5.154866340941883e-4,66.56107860366627,18.1298226101669,22.12277935464255,77.87722064535743,81.16995502449787,9.420313351687994,82.15354632143107,17.84645367856895,39.64,97.41,37.53,8.904374758033294,69.59351291153337,0,21.17685080847638,20.16129032258064,0.2796276413308468,0.007237314123036733,9.669407081637224e-7,1.036069875011604e-6,0.2931095290207514,0.009548894004925328,GP
2201919,220191,3914,3408,782.8,98.18770792566453,97.9258873650611,681.6,96.6314658620623,96.42617098851915,540.2641311813203,604.7204557555284,-101.19999999999993,-12.927950945324469,-1.5562420636022267,-1.5849662819101744,0.361326957327864,0.4307,1.365283809513006E-11,0,88.4836932243476,13.44842138291089,68.64465907558026,31.35534092441975,90.68458097908672,20.86411662651643,33.99006034788783,66.00993965211217,1.04,98.24,27.14,0.3244646333549643,91.0365637202698,0,25.62723272428471,22.72727272727273,0.0882215901399813,0.05819191145512422,2.981384233830065e-7,2.22266389964138e-7,0.05713901797574868,0.03280029930219506,PP
2201929,220192,1042,928,1042,71.0529827670422,76.2298873451663,928,73.364632578492,73.4718230433949,481.4392141591329,555.2642883443251,-114,-10.9404990403071,2.3116498114498114,3.253416987473841,0.1227927101655497,0.6059,4.82846319985119E-08,28.90720348284307,96.3085184283601,9.438290445856937,69.70136552098536,30.29863447901463,91.78912011985194,4.147695745477316,30.27228141383392,69.72771858616608,20.44,94.37,11.19,3.912111468381565,96.22864874006426,36.81672025723473,54.00293907760149,0,0.06757179616521089,0.3338888776244434,4.016158308377595e-7,4.768491083733395e-7,0.05463604970676245,0.4837786203680824,GP
