id,code_mun,code_mun_short,perc_forest_2010,perc_forest_2011,perc_forest_2022,perc_forest_2023,perc_agrifam_cadunico_2012,perc_cisternas_2010,perc_pessoas_cadunico_2012,perc_popUrb_2010,perc_public_light_2010,perc_saneamento_2010,perc_popUrb_2022,perc_popRur_2022,perc_saneamento_2022,perc_public_light_2022,perc_agrifam_cadunico_2022,perc_pessoas_cadunico_2022,perc_cisternas_2022,fpp_2010,fpp_2022,fpp_abs_change,fpp_perc_change,ifdm_saude_2013,ifdm_saude_2022,irrigacao_hectare_2010,irrigacao_hectare_2022,taxa_u5mort_2010,taxa_u5mort_2022,forest_abs_change,forest_perc_change,cat_change
14061,2918605,291860,49.3443556537151,48.645401794677,45.8450690722325,45.9244449530064,10.66441931305901,6.569374655156392,73.12506294836575,39.92940428405111,93.06436314674481,21.47551041836731,43.05461444640195,56.94538555359805,39.64,98.34,69.76511744127936,84.32036861363328,22.73863068465767,680,540,-140,-20.588235294117645,0.4073797865180969,0.6851,6.117001013375825e-6,2.906825960657304e-6,14.53346111844782,0,-3.4992865814826004,-7.091564040352692,PP
14056,2919504,291950,71.0481722807739,69.8638982321798,68.6543952141386,68.7309794058002,23.29391609058045,13.60920065624654,73.82775699928695,47.90759232475855,97.59356138331586,32.37610904562125,54.201987056786074,45.79801294321393,60.74,99.19,28.32228810603418,69.82727189864187,37.22822927566562,1212,1041,-171,-14.108910891089108,0.381908908186434,0.6671,2.631980874879366e-5,6.333805253230377e-6,18.95188557274888,5.988023952095809,-2.3937770666352947,-3.3692310298643195,PP
14058,2919504,291950,36.8037873597442,36.577486381506,30.6994387813211,30.6408655969396,23.29391609058045,13.60920065624654,73.82775699928695,47.90759232475855,97.59356138331586,32.37610904562125,54.201987056786074,45.79801294321393,60.74,99.19,28.32228810603418,69.82727189864187,37.22822927566562,419,1614,1195,285.2028639618138,0.381908908186434,0.6671,2.631980874879366e-5,6.333805253230377e-6,18.95188557274888,5.988023952095809,-6.1043485784230995,-16.58619673773033,PG
14057,2919504,291950,43.2945363788809,42.9255182313816,36.6739154413936,36.7995020207912,23.29391609058045,13.60920065624654,73.82775699928695,47.90759232475855,97.59356138331586,32.37610904562125,54.201987056786074,45.79801294321393,60.74,99.19,28.32228810603418,69.82727189864187,37.22822927566562,2122,1805,-317,-14.938737040527805,0.381908908186434,0.6671,2.631980874879366e-5,6.333805253230377e-6,18.95188557274888,5.988023952095809,-6.6206209374872955,-15.292047198631831,PP
13956,2914307,291430,16.4932331554023,14.7251594032849,21.4472851036168,21.609653591664,0.1261751277092075,14.84138036876186,82.11916087771117,45.08517991029129,95.81088616910912,1.988578113434231,46.83131407269338,53.16868592730661,5.62,96.2,7.8,72.99161230195713,65.93333333333334,475,366,-109,-22.94736842105263,0.3549250919875409,0.312,3.246272270123128e-7,3.418418694308003e-7,23.41386215796842,9.70873786407767,4.954051948214499,30.03687573889548,GP
13955,2914307,291430,22.3752361355247,19.6942269157729,30.456100708415,29.7806422868407,0.1261751277092075,14.84138036876186,82.11916087771117,45.08517991029129,95.81088616910912,1.988578113434231,46.83131407269338,53.16868592730661,5.62,96.2,7.8,72.99161230195713,65.93333333333334,1060,1035,-25,-2.358490566037736,0.3549250919875409,0.312,3.246272270123128e-7,3.418418694308003e-7,23.41386215796842,9.70873786407767,8.080864572890302,36.11521471302142,GP
13957,2920502,292050,26.1044880364593,22.7219963962138,33.3816542778752,33.4964396403941,6.623991934857635,4.533520333091359,79.23230805835287,70.10556433936854,97.32652545763568,9.952451236946803,78.84489884707418,21.15510115292582,25.99,98.56,3.642384105960265,69.85715321586542,17.02538631346578,262,229,-33,-12.595419847328243,0.2221177833635275,0.5285,1.817172683409197e-6,1.138711087017541e-6,25.85974070039186,13.24503311258278,7.277166241415898,27.87706938075979,GP
13952,2914307,291430,96.6278569116044,96.6298802603573,95.4659764297271,95.3653079184118,0.1261751277092075,14.84138036876186,82.11916087771117,45.08517991029129,95.81088616910912,1.988578113434231,46.83131407269338,53.16868592730661,5.62,96.2,7.8,72.99161230195713,65.93333333333334,117,109,-8,-6.837606837606838,0.3549250919875409,0.312,3.246272270123128e-7,3.418418694308003e-7,23.41386215796842,9.70873786407767,-1.16188048187729,-1.2024280771746638,PP
13951,2902807,290280,80.9601781866758,82.0657341035162,79.7187222297538,80.0164784552696,0.02317623749499572,7.361684261412881,78.86117732480311,48.42533323386764,95.08465973787769,40.9971821504141,54.13904732542007,45.86095267457993,54.97,95.6,19.70712773465067,77.87883459226144,25.81157374735356,868,615,-253,-29.147465437788018,0.349794850552477,0.5881,2.655768075259841e-6,3.490508233756415e-6,23.65632586074581,8.356545961002785,-1.2414559569220103,-1.5334155441944488,PP
13954,2914307,291430,35.250099230148,33.0046504787567,44.7049668668867,44.3249487443881,0.1261751277092075,14.84138036876186,82.11916087771117,45.08517991029129,95.81088616910912,1.988578113434231,46.83131407269338,53.16868592730661,5.62,96.2,7.8,72.99161230195713,65.93333333333334,643,621,-22,-3.421461897356143,0.3549250919875409,0.312,3.246272270123128e-7,3.418418694308003e-7,23.41386215796842,9.70873786407767,9.454867636738697,26.822244031166658,GP
13953,2914307,291430,84.2324057752454,83.4535304612195,78.781487160467,78.9115526687388,0.1261751277092075,14.84138036876186,82.11916087771117,45.08517991029129,95.81088616910912,1.988578113434231,46.83131407269338,53.16868592730661,5.62,96.2,7.8,72.99161230195713,65.93333333333334,83,41,-42,-50.602409638554214,0.3549250919875409,0.312,3.246272270123128e-7,3.418418694308003e-7,23.41386215796842,9.70873786407767,-5.450918614778402,-6.471284495094337,PP
13916,2909109,290910,51.4626428068551,51.2634729774568,52.3002546370749,51.9293142500371,0.03473685384647756,20.12466568638156,87.27719397467934,45.57184015552171,89.24767174585978,3.049070572551432,62.63161664637204,37.36838335362796,0.8799999999999999,98.7,55.4673721340388,92.56500250698375,49.38271604938272,2376,1637,-739,-31.102693602693606,0.3549298872178008,0.5107,2.127714188554654e-6,2.842768380661909e-6,0.2297964290321415,6.944444444444444,0.8376118302197995,1.6276113789248017,GP
13918,2909109,290910,70.601230208765,71.4335574432561,73.7578467043539,73.7208313496147,0.03473685384647756,20.12466568638156,87.27719397467934,45.57184015552171,89.24767174585978,3.049070572551432,62.63161664637204,37.36838335362796,0.8799999999999999,98.7,55.4673721340388,92.56500250698375,49.38271604938272,735,489,-246,-33.46938775510204,0.3549298872178008,0.5107,2.127714188554654e-6,2.842768380661909e-6,0.2297964290321415,6.944444444444444,3.1566164955888922,4.471050272431378,GP
13940,2923605,292360,19.7680632663603,18.9929386032864,21.9185865943314,21.9917210562955,0.4092026387464033,12.63567102764262,68.28587783387681,47.57950414969751,93.19809280584059,38.37100933858617,62.09744825212645,37.90255174787355,34.25,97.4,0.02986857825567503,70.06735827720144,28.97252090800478,1516,909,-607,-40.03957783641161,0.3526327388792159,0.6053,3.325957472664257e-6,3.576292870191457e-6,10.80818967867115,22.93577981651376,2.1505233279711007,10.878776028760937,GP
13942,2900504,290050,70.3310841970055,70.2584392035035,69.7248135193027,69.854662342378,0.04252310256652029,6.406529553395658,81.24733465665817,21.149655843856362,95.49314181995979,0.9008003609347693,21.5188679245283,78.48113207547169,0.48,100,0.06064281382656155,67.95283018867924,33.17161916312917,998,893,-105,-10.521042084168336,0.3842274097040913,0.5874,4.817830768717962e-6,1.135388386415439e-6,10.18720173647769,16.94915254237288,-0.6062706777027955,-0.8620237902270372,PP
13941,2923605,292360,75.609800007716,75.1278513675383,76.775655336529,76.8571050639485,0.4092026387464033,12.63567102764262,68.28587783387681,47.57950414969751,93.19809280584059,38.37100933858617,62.09744825212645,37.90255174787355,34.25,97.4,0.02986857825567503,70.06735827720144,28.97252090800478,1464,1293,-171,-11.68032786885246,0.3526327388792159,0.6053,3.325957472664257e-6,3.576292870191457e-6,10.80818967867115,22.93577981651376,1.1658553288129951,1.5419367974707237,GP
13937,2931053,293105,14.0869200312525,14.3718313520535,16.1527356565273,16.0303184916598,0.08175935599440591,13.96908924357684,77.31369432808049,45.46958679053748,91.6744233328724,4.459036322346862,53.29484487986937,46.70515512013063,15.41,94.5,53.21719584152852,76.24212736179146,57.31947176173082,3607,2828,-779,-21.596894926531743,0.2356305385878976,0.663,1.214313330374511e-6,1.392407278394241e-6,14.08711131462028,8.16326530612245,2.0658156252748014,14.664778537052042,GP
13948,2902807,290280,57.3113527537389,57.4254419198102,48.8857978562641,49.6715984486661,0.02317623749499572,7.361684261412881,78.86117732480311,48.42533323386764,95.08465973787769,40.9971821504141,54.13904732542007,45.86095267457993,54.97,95.6,19.70712773465067,77.87883459226144,25.81157374735356,935,922,-13,-1.3903743315508021,0.349794850552477,0.5881,2.655768075259841e-6,3.490508233756415e-6,23.65632586074581,8.356545961002785,-8.425554897474804,-14.701371530486398,PP
13947,2918605,291860,37.1071686221795,36.6636267859997,36.2209990056818,36.2363414606857,10.66441931305901,6.569374655156392,73.12506294836575,39.92940428405111,93.06436314674481,21.47551041836731,43.05461444640195,56.94538555359805,39.64,98.34,69.76511744127936,84.32036861363328,22.73863068465767,1478,1344,-134,-9.066305818673884,0.4073797865180969,0.6851,6.117001013375825e-6,2.906825960657304e-6,14.53346111844782,0,-0.8861696164977033,-2.3881359031204195,PP
13950,2902807,290280,61.2487961127544,61.4494856030591,52.4213932130746,52.8290145382403,0.02317623749499572,7.361684261412881,78.86117732480311,48.42533323386764,95.08465973787769,40.9971821504141,54.13904732542007,45.86095267457993,54.97,95.6,19.70712773465067,77.87883459226144,25.81157374735356,1266,1367,101,7.977883096366509,0.349794850552477,0.5881,2.655768075259841e-6,3.490508233756415e-6,23.65632586074581,8.356545961002785,-8.827402899679797,-14.412369646301645,PG
13949,2902807,290280,57.5159567258094,58.6153678859469,44.2949178856753,45.8014286133592,0.02317623749499572,7.361684261412881,78.86117732480311,48.42533323386764,95.08465973787769,40.9971821504141,54.13904732542007,45.86095267457993,54.97,95.6,19.70712773465067,77.87883459226144,25.81157374735356,862,876,14,1.6241299303944314,0.349794850552477,0.5881,2.655768075259841e-6,3.490508233756415e-6,23.65632586074581,8.356545961002785,-13.221038840134106,-22.986732017971228,PG
13944,2926707,292670,45.3456161951741,45.3624551064386,38.1026275324001,38.1204416110012,0.4466474726252619,14.27072430139885,83.2803985873646,47.32430609640139,95.84120557372259,22.22036223278809,50.23142878822369,49.76857121177631,37.38,97.87,14.54378444580527,79.17140905986797,20.51439069197795,194,264,70,36.08247422680412,0.2510409402852535,0.4933,6.609927443937608e-6,1.600023837852148e-6,28.31470029415742,33.89830508474576,-7.242988662774003,-15.9728531013872,PG
13943,2919504,291950,51.5065514823174,51.47622185911,48.3757274261285,48.4321015886121,23.29391609058045,13.60920065624654,73.82775699928695,47.90759232475855,97.59356138331586,32.37610904562125,54.201987056786074,45.79801294321393,60.74,99.19,28.32228810603418,69.82727189864187,37.22822927566562,601,610,9,1.497504159733777,0.381908908186434,0.6671,2.631980874879366e-5,6.333805253230377e-6,18.95188557274888,5.988023952095809,-3.1308240561888994,-6.078496746697818,PG
13946,2926707,292670,66.0373155680583,65.6849815651754,61.6994889372757,61.6467663574609,0.4466474726252619,14.27072430139885,83.2803985873646,47.32430609640139,95.84120557372259,22.22036223278809,50.23142878822369,49.76857121177631,37.38,97.87,14.54378444580527,79.17140905986797,20.51439069197795,850,752,-98,-11.529411764705882,0.2510409402852535,0.4933,6.609927443937608e-6,1.600023837852148e-6,28.31470029415742,33.89830508474576,-4.337826630782601,-6.5687507032475,PP
13945,2926707,292670,51.8495782843052,51.1990546248918,42.8052265111952,42.8522579356468,0.4466474726252619,14.27072430139885,83.2803985873646,47.32430609640139,95.84120557372259,22.22036223278809,50.23142878822369,49.76857121177631,37.38,97.87,14.54378444580527,79.17140905986797,20.51439069197795,854,573,-281,-32.903981264637,0.2510409402852535,0.4933,6.609927443937608e-6,1.600023837852148e-6,28.31470029415742,33.89830508474576,-9.044351773110002,-17.44344326875213,PP
13924,2930154,293015,25.9846748284812,29.8539440092687,19.4416962516867,19.3854448437434,0,5.972187359176764,82.36532903352555,20.12837009701123,87.52842127882437,2.439576928176562,53.45882490705232,46.54117509294768,19.72,98.37,52.31084368198694,82.4819227729149,14.0058891307131,827,679,-148,-17.89600967351874,0.2563975398015659,0.5251,4.276500896932724e-6,5.826863588839218e-6,12.36766412535949,12.91512915129151,-6.5429785767945,-25.18014414258859,PP
13923,2930154,293015,55.3607141053235,56.0194902210701,51.0451513975683,51.2520319197078,0,5.972187359176764,82.36532903352555,20.12837009701123,87.52842127882437,2.439576928176562,53.45882490705232,46.54117509294768,19.72,98.37,52.31084368198694,82.4819227729149,14.0058891307131,177,182,5,2.824858757062147,0.2563975398015659,0.5251,4.276500896932724e-6,5.826863588839218e-6,12.36766412535949,12.91512915129151,-4.3155627077552055,-7.795352313456194,PG
13926,2920205,292020,45.7643262014092,49.8646158137839,39.6367139464953,40.4583561444384,6.263136588281666e-8,41.30945191749493,95.55757387106591,41.45248451599117,91.98560327816988,15.08698870169792,55.21979811136437,44.78020188863562,1.22,93.41,51.99543899657925,91.16248778899381,45.89509692132269,74,156,82,110.8108108108108,0.257553955983621,0.5432,2.315033078182219e-6,3.391704951284503e-6,25.86775159694318,13.04347826086956,-6.127612254913899,-13.389495188777007,PG
13925,2930154,293015,36.2216378033991,35.7901775078463,22.5562684659787,22.3026927051536,0,5.972187359176764,82.36532903352555,20.12837009701123,87.52842127882437,2.439576928176562,53.45882490705232,46.54117509294768,19.72,98.37,52.31084368198694,82.4819227729149,14.0058891307131,139,115,-24,-17.26618705035971,0.2563975398015659,0.5251,4.276500896932724e-6,5.826863588839218e-6,12.36766412535949,12.91512915129151,-13.665369337420397,-37.727088464613864,PP
13920,2929057,292905,78.1811698917878,77.763858203828,75.4808759630789,73.7651124896601,0.006008320717303704,39.84957609688115,89.44784103453838,60.62015576958335,91.386704845506,2.477151727637662,75.47256800368834,24.52743199631166,10.81,98.78,43.56617647058824,80.56378844760587,38.74080882352941,208,186,-22,-10.576923076923077,0.2866349996947257,0.4998,5.317647434688624e-6,7.219314394450657e-6,19.4586368326753,16.94915254237288,-2.700293928708902,-3.4538929673813215,PP
13919,2929057,292905,82.4652332791917,82.5084818719773,77.6469547667032,76.1099977291504,0.006008320717303704,39.84957609688115,89.44784103453838,60.62015576958335,91.386704845506,2.477151727637662,75.47256800368834,24.52743199631166,10.81,98.78,43.56617647058824,80.56378844760587,38.74080882352941,225,186,-39,-17.333333333333336,0.2866349996947257,0.4998,5.317647434688624e-6,7.219314394450657e-6,19.4586368326753,16.94915254237288,-4.81827851248849,-5.8427998332047135,PP
