code_mun,code_mun_short,sum_fpp_2010,sum_fpp_2022,mean_fpp_2010,mean_perc_forest_2010,mean_perc_forest_2011,mean_fpp_2022,mean_perc_forest_2022,mean_perc_forest_2023,mean_respRenda_2010,mean_respRenda_2022,mean_fpp_abs_change,mean_fpp_perc_change,mean_forest_abs_change,mean_forest_perc_change,ifdm_saude_2013,ifdm_saude_2022,perc_agrifam_cadunico_2012,perc_cisternas_2010,perc_pessoas_cadunico_2012,perc_pib_agro_2010,perc_popRur_2010,perc_popUrb_2010,perc_public_light_2010,perc_saneamento_2010,perc_popUrb_2022,perc_popRur_2022,perc_saneamento_2022,perc_public_light_2022,perc_pib_agro_2021,perc_agrifam_cadunico_2022,perc_pessoas_cadunico_2022,perc_cisternas_2022,taxa_u5mort_2010,taxa_u5mort_2022,bovino_hectare_2010,caprino_hectare_2010,irrigacao_hectare_2010,irrigacao_hectare_2022,bovino_hectare_2022,caprino_hectare_2022,cat_change
2200053,220005,6797,4786,522.8461538461538,53.67981905878991,54.40066427318906,368.1538461538461,43.67836655493592,43.73750103704512,434.0527832817158,542.4242320746898,-154.69230769230774,-29.58658231572754,-10.00145250385399,-18.631680730705224,0.2751506474086954,0.4258,1.093701999330914E-08,40.42860716641665,76.22658417487636,15.98102444384167,86.63169854356568,13.36830145643433,88.6404485009818,1.438276178334483,23.91338214675183,76.08661785324817,2.3,94.44,23.42,0.7112970711297071,81.60149556005608,56.35983263598327,43.47021267449634,21.27659574468085,0.08021188072634257,0.07170163921602592,2.060317563303086e-7,3.740005834487322e-7,0.04720848178555454,0.1605469094271641,PP
2200251,220025,3741,2417,748.2,64.3363006394196,64.49615101608416,483.4,55.79138842578284,55.72792561456946,485.1137577724879,521.0213325837103,-264.80000000000007,-35.39160652232024,-8.544912213636763,-13.281634363044487,0.301027374166884,0.4025,0,56.94447441881072,72.44003468486761,15.73053245735623,63.6087687696507,36.39123123034928,69.3456417547708,7.346196036204458,56.01994427335386,43.98005572664614,28.27,99.02,19.32,0,79.26382167473237,46.56834940442427,33.84399785106257,12.04819277108434,0.08036881869971255,0.06721464978486118,2.771733611479265e-7,3.2064385637439e-7,0.1000105865606859,0.0985007868727017,PP
2200277,220027,2857,1625,952.3333333333334,59.46906205067107,60.54282742919317,541.6666666666666,56.82464178642046,56.87377069205183,588.4003587266792,626.8742005156788,-410.66666666666674,-43.122156107805395,-2.6444202642506127,-4.446715944498022,0.316334033692806,0.6276,5.770662816025948E-05,48.64672820157438,74.91010177368251,9.47724398593652,45.16062228358698,54.83937771641303,84.53403343186504,2.279212499763458,65.60812270468783,34.39187729531216,4.199999999999999,97.49,15.71,0.6535947712418301,76.06394469647873,84.44444444444444,0.2527695056246703,0,0.1038256543732873,0.05619505166874821,3.521435264522929e-7,4.178655195769463e-7,0.1424387708708362,0.07171910046092621,PP
2200459,220045,2476,2653,225.0909090909091,94.66717354092962,95.2014810168152,241.1818181818182,90.8242258405923,90.6086442400782,629.9795669647509,621.3710688258475,16.090909090909093,7.1486268174474965,-3.8429477003373194,-4.059430060701886,0.1946986542770229,0.431,0.1240236514893726,7.938052754114464e-6,90.77015059494016,24.75855449204975,63.37618241230457,36.62381758769543,71.25155695815177,1.089810447700677,39.57158962795941,60.42841037204059,31.14,99.38,29.71,0.4837595024187976,90.41713641488163,0,10.10796654633284,22.98850574712644,0.06895817325680768,0.0028496383318884202,7.709419822928763e-7,8.922970065069873e-7,0.05328391004397972,0.00200208330730968,PG
2200509,220050,2359,1267,1179.5,91.451950153821,91.48425449743479,633.5,88.9877525189475,88.99312811786496,625.9652500779149,693.7894389694305,-546,-46.29080118694362,-2.4641976348735,-2.694527159594466,0.2620259810754978,0.3489,0,0,78.04019379221823,8.5285992023956,48.79860216911602,51.20139783088398,93.10027517360346,9.535283319182259,53.21042224031639,46.78957775968361,58.3,98.61,10.55,0.233849751534639,81.64475979993021,1.549254603916983,19.16911371532559,40,0.2044039654018001,0.1044805302786009,1.782617453207068e-6,2.232843437342e-6,0.2075970630666367,0.1622999223096254,PP
2200707,220070,2460,2433,1230,65.58055392782416,67.71775921041694,1216.5,68.30133292939081,68.3271773887012,537.6130898456693,635.2995178828762,-13.5,-1.097560975609756,2.7207790015666546,4.148758799080984,0.4456999442065224,0.6291,3.031605211682875E-10,37.03703901622598,85.49132364591216,5.670001598590041,50.50562087718601,49.494379122814,87.12999142109005,18.25999099568064,50.59111726488445,49.40888273511556,32.95,96.27,11.61,44.85702091335894,69.58142507189264,31.58344003414426,1.824026649257134e-5,18.18181818181818,0.07722299303801548,0.06140630150855351,4.682521582034789e-7,6.107265781323005e-7,0.0644591330866117,0.1357508761305323,GP
2200954,220095,2235,1596,745,64.80587735022414,66.20801109737553,532,63.25764899385143,63.27895140220337,539.6921916137263,537.3704131568412,-213,-28.59060402684564,-1.5482283563727037,-2.389024606527218,0.1807057287971116,0.477,0.2100394967051576,1.035112758702161,79.32303977657062,16.09606595622239,84.25128557070259,15.74871442929743,86.42142293282114,12.72978242001985,13.42007434944238,86.57992565055763,32.03,97.62,15.66,0.4508566275924256,77.58364312267658,10.82055906221821,6.206787144654827,0,0.107964936937415,0.02155609367939674,6.5204340528007e-7,6.249482052095658e-7,0.0998612997907086,0.02144298949713854,PP
2201002,220100,2160,1419,432,82.92493256778828,83.39364707153632,283.8,79.09413573560914,80.05690360012204,541.7414898627715,603.6979193630123,-148.2,-34.30555555555555,-3.830796832179132,-4.619595956918732,0.5139608089430552,0.4618,0,0.00113425072258567,91.2104155246535,7.651007337252724,48.10466523956864,51.89533476043137,82.10938662795552,10.08621306918895,56.84886036733791,43.15113963266209,2.22,98.97,9.33,55.53257497414684,89.00199159105998,0,64.50520653620485,21.73913043478261,0.04454430429999251,0.04612066933255245,1.461156376648769e-7,1.408353818963043e-7,0.04873163430821439,0.05123944374733991,PP
2201051,220105,4464,3294,248,83.04375704470546,81.91311846160764,183,77.21247543053536,77.30743357905982,431.5284111677013,519.4513364558572,-65,-26.209677419354836,-5.831281614170095,-7.021938579959605,0.3357999995213348,0.3432,4.655244824076423E-11,48.51190350793834,96.17486305596948,9.190000137326555,54.97800925482687,45.02199074517312,77.39000065828074,13.46000024406443,42.05582393988191,57.94417606011809,13.06,82.88,14.35,0.1146788990825688,88.05689747718733,20.90978593272171,23.25581349117291,38.46153846153847,0.02007917252682254,0.01690088271479631,1.314026466939615e-7,2.127062647144552e-7,0.02515520233399041,0.08299890079885072,PP
2201101,220110,3903,3756,300.2307692307692,91.17191470429883,92.19735367552157,288.9230769230769,87.95605162870442,87.72479724272064,687.288580107942,627.4659019889503,-11.30769230769232,-3.766333589546507,-3.215863075594413,-3.527251880170048,0.2614170509997658,0.452,0.1599156960220245,41.89810696634517,91.30800212405194,11.89353253116481,41.3490637413774,58.6509362586226,76.99722166001408,1.557575028764035,64.54285977350152,35.45714022649848,13.68,98.11,13.16,87.33258928571429,91.40042353374459,71.81919642857143,26.48857578342941,6.802721088435374,0.08734021870792019,0.04224280613146312,2.59115425908879e-7,2.99381666456792e-7,0.09016618943032595,0.1130124886592473,PP
