buff_id,ca_nvc_17,ca_agri_17,pland_urban_17,ca_urban_17,shdi_17,pland_nvc_06,pland_agri_06,ca_nvc_06,ca_agri_06,pland_urban_06,ca_urban_06,shdi_06,code_muni,code_sc,code_uf,total_estab_06,agrifam_06,perc_agrifam_06,area_estab_06,agrifam_area_06,perc_area_agrifam_06,total_estab_17,agrifam_17,perc_agrifam_17,area_estab_17,agrifam_area_17,perc_area_agrifam_17,pop_rural_WP_06,pop_rural_WP_17,pop_urb_mun_06,pop_urb_mun_17,vari_perc_nvc,vari_area_nvc,vari_total_pop_rural,vari_perc_pop_rural,vari_estab_agrifam,vari_perc_estab_agrifam,vari_area_agrifam,vari_perc_area_agrifam,vari_total_pop_urb,vari_perc_pop_urb,cat_change,mun_area_ha,pland_nvc_17
1,5118.13966883918,2719.59918329889,0,0,0.830679035581332,68.6558970225789,31.0672693929518,5390.13626911111,2439.07403150124,0,0,0.817980316680037,2913002,291300210000006,29,2594,2485,95.7979953739399,36280,28067,77.3621830209482,2178,1702,78.1450872359963,51879,34306,66.126949247287,414.158921331167,378.225640952587,2862.25112933879,3268.53953172707,-3.46450806555237,-271.996600271929,-35.9332803785801,-8.67620580599478,-783,-17.6529081379435,15599,3.31051276316344,406.288402388284,14.1947154190534,PP,188460.230977578,65.1913889570265
2,7340.42342284741,487.869829213286,0,0,0.573843325645491,90.6110909919277,9.03377296994194,7112.99538216152,709.153644606453,0,0,0.722641703714406,2203206,220320605000013,22,1023,898,87.7810361681329,74727,38807,51.9316980475598,1183,874,73.8799661876585,80960,41843,51.68354743083,87.3564812541008,77.2855259478092,5000.93530763066,5803.67219019332,2.89716241632685,227.428040685892,-10.0709553062916,-11.5285725360175,-24,-13.9010699804744,6233,1.28090831772225,802.736882562661,16.0517349892091,GP,237019.30559704,93.5082534082545
3,7242.29922787406,595.806443683969,0,0,1.31037254781697,93.243701012744,6.43623918046,7320.34005957716,505.293751685188,0,0,1.28795553577617,2926707,291950405000032,29,1910,1767,92.5130890052356,39980,27192,68.0140070035017,1358,1016,74.8159057437408,21639,14033,64.8505014094921,71.6653744792566,72.3610976212658,5755.5744803828,5222.9338379017,-0.994054363443098,-78.0408317030979,0.695723142009228,0.970793981144411,-751,-17.6971832614948,-18341,-12.1067748312832,-532.640642481098,-9.25434366797862,PG,108691.209536647,92.2496466493009
4,4396.14734451654,3435.90580660439,0,0,0.867059095226363,66.3866822429906,33.2394859813085,5211.31180163631,2609.27824259521,0,0,0.859228509950717,2911907,291190710000009,29,939,688,73.2694355697551,188658,23886,12.6610056292339,1675,938,56,179768,25407,14.1332161452539,124.85505233705,109.184035271406,17577.7371188829,15947.434391402,-10.3843457943925,-815.164457119765,-15.6710170656443,-12.5513679841644,250,-17.2694355697551,-8890,0.60348228946572,-1630.30272748085,-9.2748157311415,PP,252037.222392489,56.0023364485981
5,7733.01190759642,117.382214547565,0,0,1.26334103787883,97.0773418061607,2.91331316364316,7621.13198435577,228.711908657521,0,0,1.22258562802,2921906,292350610000004,29,587,518,88.2453151618399,40086,9706,24.2129421743252,814,638,78.3783783783784,73875,9095,12.3113367174281,10.7443530876189,9.05436720885336,2828.50617287974,2092.19758606425,1.42511710490967,111.879923240649,-1.68998587876558,-15.7290612564939,120,-9.8669367834615,33789,-0.243320872124641,-736.308586815482,-26.0317122117445,GP,251108.749802202,98.5024589110704
6,1365.02676839101,6468.58536526687,0.21960051395865,17.2405127616736,0.661430740428067,16.6908071486976,83.1456605536736,1310.37067474231,6527.64329196111,0.163532297628782,12.8386797161399,0.559582413307471,2929701,292970105000028,29,2858,2621,91.7074877536739,51154,22955,44.8743011299214,2325,1844,79.3118279569892,28941,13280,45.8864586572682,2071.65908193588,2640.06877577305,3871.73196804964,4273.58748792322,0.696180352762521,54.6560936487047,568.409693837166,27.4374147171942,-777,-12.3956597966847,-22213,-9.25534332357142,401.855519873578,10.3792184787009,GG,104534.209718183,17.3869875014601
7,4079.58218465858,3727.61895072611,0,0,0.867762735295682,58.7082982898795,41.2508176805906,4608.99431323912,3238.46525354118,0,0,0.882166289059926,2922805,292280505000008,29,524,435,83.0152671755725,36969,8791,23.7793827260678,647,419,64.7604327666152,33023,8154,24.6918814159828,235.647106036544,196.292539983988,2623.09434826948,3112.65919885048,-6.74352864218304,-529.412128580541,-39.354566052556,-16.7006362668646,-16,-18.2548344089574,-3946,-1.31666147692771,489.564850581004,18.6636386489103,PP,48379.9375285416,51.9647696476965
8,2939.7825404305,4893.55447866152,0,0,0.768855104492606,27.2238708320676,72.4501717410099,2136.90653389623,5686.89318026381,0,0,0.707369218001393,2923209,292320905000015,29,2934,2717,92.6039536468984,128972,68009,52.7316006575071,2854,2397,83.9873861247372,106029,63297,59.6978185213479,134.518155515194,116.439044058323,5502.26897918042,5597.3321812299,10.2285206907027,802.876006534267,-18.079111456871,-13.4399043665366,-320,-8.61656752216122,-22943,-1.31700642860398,95.0632020494759,1.72770910344764,GP,357781.093369049,37.4523915227703
9,6546.53449211486,1304.22644944959,0,0,0.484703694393675,85.7012697263138,14.2987302736862,6728.20181009824,1122.55913146621,0,0,0.430690356711493,2903904,290390405000046,29,3304,2897,87.681598062954,183751,99787,54.3055547997018,3721,3045,81.8328406342381,159194,72481,45.5299822857645,92.3964918404818,131.517487004399,40082.760608017,47597.7122999742,-2.31400904110548,-181.667317983381,39.1209951639175,42.3403468948346,148,-5.84875742871588,-24557,-6.394697129622,7514.95169195729,18.7485881160945,PG,427010.059217834,83.3872606852083
10,7850.66923670933,0,0,0,0,100,0,7850.66923670933,0,0,0,0,2902708,290270820000012,29,3517,3173,90.2189365936878,141192,56362,39.9186922771828,2904,2612,89.9449035812672,77129,23096,29.9446382035292,4.87903229519725,5.65064054727554,20365.8524349967,22768.9139688678,0,0,0.771608252078296,15.8147805833923,-561,-0.274033012420574,-64063,-2.86651315800857,2403.06153387106,11.7994645278959,GP,1160504.00491134,100
